segment,month,count,w_t
60_E-G,31,465,0.011661149563647307
60_E-G,32,419,0.010507573477781121
60_E-G,33,428,0.01073327314675494
60_E-G,34,400,0.010031096398836392
60_E-G,35,379,0.009504463837897482
60_E-G,36,315,0.00789948841408366
60_E-G,37,273,0.006846223292205838
60_E-G,38,271,0.006796067810211656
60_E-G,39,228,0.005717724947336744
60_E-G,40,219,0.005492025278362925
60_E-G,41,177,0.0044387601564851034
60_E-G,42,160,0.004012438559534557
60_E-G,43,132,0.0033102618116160097
60_E-G,44,134,0.003360417293610192
60_E-G,45,105,0.0026331628046945533
60_E-G,46,120,0.003009328919650918
60_E-G,47,90,0.0022569966897381883
60_E-G,48,87,0.0021817634667469156
60_E-G,49,73,0.0018306750927876416
60_E-G,50,75,0.0018808305747818237
60_E-G,51,65,0.0016300531648109138
60_E-G,52,44,0.001103420603872003
60_E-G,53,46,0.0011535760858661852
60_E-G,54,33,0.0008275654529040024
60_E-G,55,33,0.0008275654529040024
60_E-G,56,21,0.0005266325609389106
60_E-G,57,26,0.0006520212659243656
60_E-G,58,30,0.0007523322299127295
60_E-G,59,26,0.0006520212659243656
60_E-G,60,15,0.00037616611495636473
